genes	module
Ifi207	10
AI662270	1
AI837181	0
Spindoc	2
AI854703	1
AI987944	1
Gm20604	7
Nkapd1	4
AU022252	1
AU022793	4
AU040320	6
AU041133	1
AW011738	0
AW112010	1
AW146154	7
AW209491	1
AW549877	1
AW554918	4
Aaas	3
Aacs	0
Prxl2c	0
Aagab	2
Aak1	4
Aamdc	9
Aamp	3
Aar2	5
Aars	6
Aars2	3
Aarsd1	3
Aasdh	4
Aasdhppt	1
Aatf	2
Aatk	0
Abat	0
Abca1	4
Abca13	1
Abca2	8
Abca3	0
Abca5	1
Abca6	5
Abca7	8
Abca9	8
Abcb10	8
Abcb1b	8
Abcb4	0
Abcb6	5
Abcb7	1
Abcb8	6
Abcb9	8
Abcc1	1
Abcc10	6
Abcc3	6
Abcc4	1
Abcc5	4
Abcc9	8
Abcd1	6
Abcd2	8
Abcd3	8
Abcd4	2
Abce1	1
Abcf1	3
Abcf2	5
Abcf3	3
Abcg1	6
Abcg2	1
Abcg3	5
Abhd10	7
Abhd11	2
Abhd12	5
Abhd13	1
Abhd14a	0
Abhd14b	3
Abhd15	3
Abhd16a	5
Abhd17a	5
Abhd17b	1
Abhd17c	8
Abhd2	1
Abhd3	0
Abhd4	5
Abhd5	1
Abhd6	7
Abhd8	3
Abi1	1
Abi2	1
Abi3	3
Abl1	6
Abl2	2
Ablim1	0
Abr	6
Abracl	7
Abt1	0
Abtb1	2
Acaa1a	3
Acaa2	2
Acaca	0
Acad10	0
Acad11	0
Acad12	3
Acad8	3
Acad9	8
Acadl	3
Acadm	3
Acads	5
Acadsb	1
Acadvl	3
Acap2	1
Acap3	0
Acat1	1
Acat2	0
Acbd3	1
Acbd4	3
Acbd5	1
Acbd6	3
Accs	3
Acd	3
Ace	0
Acer2	0
Acer3	1
Ache	5
Acin1	2
Ackr3	2
Acly	6
Aco1	3
Aco2	6
Acot11	5
Acot13	7
Acot2	3
Acot7	3
Acot8	3
Acot9	1
Acox1	0
Acox3	6
Acp1	8
Acp2	2
Acp5	0
Acp6	3
Acrbp	2
Acsf2	3
Acsf3	3
Acsl1	5
Acsl3	0
Acsl4	1
Acsl5	8
Acss1	0
Acss2	2
Actb	2
Actg1	1
Actl6a	0
Actn1	5
Actn4	6
Actr10	1
Actr1a	5
Actr1b	2
Actr2	1
Actr3	1
Actr3b	10
Actr5	6
Actr6	1
Actr8	0
Acvr1	1
Acvr1b	0
Acvr2a	1
Acvr2b	2
Acvrl1	5
Acy1	6
Acyp1	1
Ada	6
Adal	2
Adam10	1
Adam15	6
Adam17	1
Adam22	1
Adam3	2
Adam8	1
Adam9	1
Adamts1	0
Adamts10	2
Adamts16	0
Adamts6	2
Adamtsl2	6
Adamtsl4	2
Adap1	5
Adap2	2
Adar	0
Adarb1	0
Adat1	4
Adat3	2
Adck1	0
Adck2	3
Coq8a	3
Coq8b	3
Adck5	2
Adcy3	0
Adcy4	0
Adcy6	2
Adcy7	4
Adcy8	10
Adcy9	4
Add1	8
Add3	5
Adgb	0
Adgra2	6
Adgre1	1
Adgre4	2
Adgre5	1
Adgrg1	5
Adgrg3	1
Adgrg6	0
Adgrl1	2
Adgrl2	2
Adh5	5
Adhfe1	4
Adi1	1
Adipor1	5
Adipor2	2
Adk	0
Adm	0
Adnp2	0
Ado	8
Adora1	5
Adora3	1
Adpgk	0
Adprh	5
Adprs	2
Adprm	9
Adra2a	1
Adrb1	3
Adrb2	1
Grk2	3
Grk3	4
Adrm1	3
Adsl	3
Adss	1
Adssl1	5
Adtrp	2
Aebp2	4
Aen	2
Aes	5
Afap1	1
Afap1l1	2
Aff1	0
Aff4	4
Afg3l1	3
Afg3l2	5
Afmid	0
Afp	10
Aftph	4
Aga	1
Agap1	2
Agap3	3
Agbl3	0
Agbl5	2
Agfg1	8
Agfg2	5
Aggf1	3
Agk	0
Agl	1
Agmo	8
Ago1	2
Ago2	4
Ago3	4
Ago4	3
Agpat1	3
Agpat2	0
Agpat3	6
Agpat4	5
Agpat5	1
Gpat4	5
Agps	1
Agrn	0
Agtpbp1	0
Agtrap	3
Ahctf1	0
Ahcyl1	1
Ahcyl2	6
Ahdc1	2
Ahi1	1
Ahr	0
Ahrr	5
Ahsa1	3
Ahsa2	4
Aida	7
Aif1	7
Aifm1	8
Aifm2	3
Aig1	1
Aim1	0
Aim2	4
Aimp1	0
Aimp2	5
Aip	3
Ajuba	0
Ak1	10
Ak2	2
Ak3	5
Ak6	7
Akap1	8
Akap10	4
Akap11	4
Akap12	6
Akap13	2
Akap17b	1
Akap5	2
Akap7	0
Akap8	2
Akap8l	2
Akap9	2
Akip1	7
Akirin1	1
Akirin2	4
Akna	2
Akr1a1	10
Akr1b10	3
Akr1c13	7
Akr1e1	10
Akr7a5	3
Akt1	3
Akt1s1	3
Akt2	6
Akt3	1
Aktip	4
Alad	5
Alas1	5
Alas2	0
Alcam	7
Aldh16a1	6
Aldh18a1	8
Aldh1b1	5
Aldh1l1	0
Aldh1l2	0
Aldh2	5
Aldh3a2	8
Aldh3b1	3
Aldh4a1	5
Aldh6a1	8
Aldh7a1	3
Aldh9a1	6
Aldoa	5
Aldoc	8
Alg1	5
Alg10b	4
Alg11	1
Alg12	2
Alg13	4
Alg14	9
Alg2	1
Alg3	8
Alg5	8
Alg6	1
Alg8	1
Alg9	8
Alkbh1	4
Alkbh2	2
Alkbh3	0
Alkbh4	10
Alkbh5	1
Alkbh6	9
Alkbh7	9
Alkbh8	4
Alms1	2
Alox5	5
Alox5ap	10
Alpk1	0
Als2	0
Als2cl	3
Alyref	5
Alyref2	2
Amacr	5
Ambra1	6
Amdhd2	0
Amer1	4
Amer2	0
Amfr	8
Amigo1	5
Amigo2	1
Amigo3	0
Ammecr1	1
Ammecr1l	1
Amn1	1
Amotl1	0
Amotl2	2
Ampd2	3
Ampd3	6
Amz1	5
Amz2	0
Anapc1	1
Anapc10	4
Anapc11	7
Anapc13	7
Anapc15	0
Anapc16	2
Anapc2	6
Anapc4	1
Anapc5	0
Anapc7	0
Ang	9
Angel1	5
Angel2	4
Angptl3	2
Angptl7	5
Ank	1
Ank2	0
Ankdd1b	3
Ankfy1	1
Ankhd1	4
Ankib1	1
Ankle2	8
Ankmy2	0
Ankra2	2
Ankrd10	4
Ankrd11	2
Ankrd12	2
Ankrd13a	5
Ankrd13c	1
Ankrd13d	2
Ankrd16	2
Ankrd17	4
Ankrd23	2
Ankrd24	7
Ankrd26	4
Ankrd27	6
Ankrd28	2
Slf1	1
Ankrd37	1
Ankrd39	4
Ankrd40	0
Ankrd42	2
Ankrd44	1
Ankrd46	1
Ankrd49	1
Ankrd50	4
Ankrd52	2
Ankrd54	2
Ankrd55	2
Ankrd9	5
Anks1	6
Anks3	2
Anks6	6
Ankzf1	2
Anln	0
Ano10	5
Ano6	5
Ano7	2
Ano8	3
Anp32a	9
Anp32b	9
Anp32e	1
Antxr2	0
Anxa1	1
Anxa11	6
Anxa2	0
Anxa3	1
Anxa4	5
Anxa5	5
Anxa6	6
Anxa7	8
Anxa9	8
Aoah	0
Ap1ar	0
Ap1b1	6
Ap1g1	1
Ap1g2	3
Ap1m1	5
Ap1s1	5
Ap1s2	7
Ap2a1	6
Ap2a2	6
Ap2b1	0
Ap2m1	3
Ap2s1	3
Ap3b1	0
Ap3d1	2
Ap3m1	1
Ap3m2	2
Ap3s1	1
Ap3s2	1
Ap4b1	0
Ap4e1	1
Ap4m1	0
Ap4s1	7
Ap5b1	0
Ap5m1	1
Ap5s1	3
Ap5z1	2
Apaf1	1
Apba1	6
Apba3	3
Apbb1	5
Apbb1ip	0
Apbb2	1
Apbb3	2
Apc	2
Apeh	3
Apex1	3
Apex2	0
Aph1a	0
Aph1b	1
Aph1c	0
Api5	8
Apip	7
Cenps	0
Aplf	0
Aplnr	0
Aplp1	3
Aplp2	5
Apmap	8
Naxe	5
Apob	0
Apobec1	2
Apobec2	0
Apobec3	0
Apobr	9
Apoe	3
Apool	1
Coa8	0
App	5
Appbp2	1
Appl1	1
Appl2	6
Aprt	3
Aptx	4
Aqr	6
Araf	0
Arap1	6
Arap2	1
Arap3	6
Arcn1	1
Arel1	1
Arf1	5
Arf2	5
Arf3	8
Arf4	1
Arf5	5
Arf6	5
Arfgap1	2
Arfgap2	5
Arfgap3	5
Arfgef1	4
Arfgef2	6
Arfip1	1
Arfip2	3
Arfrp1	2
Arglu1	4
Arhgap1	8
Arhgap11a	2
Arhgap12	4
Arhgap15	10
Arhgap17	2
Arhgap18	3
Arhgap19	1
Arhgap21	2
Arhgap22	3
Arhgap23	3
Arhgap24	10
Arhgap25	2
Arhgap26	0
Arhgap27	6
Arhgap27os3	2
Arhgap29	0
Arhgap30	2
Arhgap31	0
Arhgap32	2
Arhgap35	2
Arhgap39	2
Arhgap4	2
Arhgap5	1
Arhgap9	3
Arhgdia	3
Arhgdib	9
Arhgef1	3
Arhgef10	5
Arhgef10l	6
Arhgef11	6
Arhgef12	4
Arhgef18	6
Arhgef2	3
Arhgef25	9
Arhgef3	2
Arhgef39	0
Arhgef4	2
Arhgef40	6
Arhgef6	6
Arhgef7	4
Arhgef9	4
Arid1a	2
Arid1b	6
Arid2	0
Arid3a	6
Arid3b	2
Arid4a	4
Arid4b	1
Arid5a	3
Arid5b	4
Arih1	1
Arih2	4
Arl1	4
Arl10	2
Arl11	5
Arl13b	4
Arl14ep	1
Arl15	0
Arl16	1
Arl2	3
Arl2bp	7
Arl3	9
Arl4a	7
Arl4c	0
Arl4d	0
Arl5a	1
Arl5b	1
Arl5c	0
Arl6	1
Arl6ip1	8
Arl6ip4	9
Arl6ip5	0
Arl6ip6	1
Arl8a	3
Arl8b	1
Armc1	1
Armc10	1
Armc3	0
Armc5	6
Armc6	0
Armc7	3
Armc8	1
Armc9	0
Armcx2	0
Armcx3	0
Armcx5	0
Armcx6	0
Armt1	0
Arnt	0
Arnt2	0
Arntl	0
Arpc1a	0
Arpc1b	3
Arpc2	5
Arpc3	3
Arpc4	5
Arpc5	8
Arpc5l	7
Arpp19	1
Arpp21	0
Arrb1	0
Arrb2	3
Arrdc1	2
Arrdc2	3
