#KEY	PBS_4	PBS_3	PBS_2	PBS_1	CML_4	CML_3	CML_2	CML_1
Zfp639	771	876	728	757	598	1086	689	779
Zfp64	477	386	564	532	689	766	452	660
Zfp641	6	0	2	10	26	0	17	5
Zfp644	2014	2119	2018	2347	2671	3139	2371	2662
Zfp646	715	422	375	583	730	1322	593	738
Zfp647	90	100	94	52	112	131	137	106
Zfp648	0	0	0	0	0	0	0	0
Zfp65	751	798	352	672	596	996	734	683
Zfp651	71	35	86	56	144	161	199	145
Zfp652	480	454	687	574	573	710	622	616
Zfp652os	52	54	71	50	66	60	56	72
Zfp653	144	126	142	189	165	149	154	162
Zfp654	686	986	650	620	796	1339	613	930
Zfp655	1843	1829	1338	1738	1733	2708	2188	1881
Zfp658	2152	1976	2110	1959	2218	2842	2571	2364
Zfp661	131	153	102	268	187	325	144	202
Zfp663	0	0	0	0	0	0	0	0
Zfp664	321	411	445	224	427	646	527	468
Zfp667	103	132	138	166	146	257	181	189
Zfp668	294	319	354	365	351	524	408	373
Zfp672	941	742	676	652	813	1100	814	895
Zfp677	434	265	214	335	521	436	457	377
Zfp68	2203	2391	1699	2123	2134	3100	2153	2524
Zfp687	619	687	476	636	737	915	676	749
Zfp688	256	318	302	224	352	345	262	291
Zfp689	118	212	137	287	183	439	191	227
Zfp69	596	580	767	578	602	526	504	620
Zfp691	445	336	313	315	437	606	294	437
Zfp692	103	68	16	67	77	113	68	63
Zfp697	324	246	294	284	310	412	232	310
Zfp7	19	50	32	25	95	105	61	53
Zfp703	566	554	609	582	524	841	474	656
Zfp704	184	126	211	108	186	228	144	209
Zfp706	8808	9603	9228	7745	8152	10469	7664	9541
Zfp707	327	197	142	300	317	347	193	250
Zfp708	271	210	129	111	149	212	136	165
Zfp709	830	921	694	690	809	1133	705	983
Zfp710	3551	2983	3263	3310	3451	4076	3587	3637
Zfp711	0	0	0	0	0	0	0	0
Zfp712	388	412	250	175	415	652	457	394
Zfp715	4380	5197	4515	3739	4198	6347	3813	5326
Zfp719	1624	1959	1157	1296	1335	2173	1465	1519
Zfp72	173	164	82	129	150	241	155	162
Zfp729a	725	932	558	774	617	1116	696	805
Zfp729b	671	950	939	556	981	1028	882	1044
Zfp735	0	0	0	0	0	0	0	0
Zfp738	306	472	392	445	450	622	510	528
Zfp74	513	546	531	656	579	913	471	673
Zfp740	2913	2485	2628	2684	2712	3564	2239	2871
Zfp746	957	1095	1125	1192	1310	1806	1036	1513
Zfp747	402	436	389	370	524	542	314	473
Zfp748	2572	1868	2192	1844	2526	2999	2549	2602
Zfp750	11	3	15	4	7	16	6	9
Zfp758	1239	1196	1281	1201	1467	1922	1343	1507
Zfp759	436	266	214	207	298	360	267	303
Zfp760	442	671	351	521	560	975	629	556
Zfp763	562	661	291	528	586	690	620	543
Zfp764	323	236	473	472	230	538	424	467
Zfp768	357	248	318	392	366	444	391	373
Zfp770	877	820	651	867	606	1217	864	804
Zfp771	205	218	262	189	188	301	336	272
Zfp772	229	396	436	403	374	363	293	381
Zfp773	688	425	482	285	327	546	397	450
Zfp775	201	227	172	210	180	266	360	229
Zfp777	419	314	317	405	444	564	427	435
Zfp78	152	114	168	147	213	221	195	168
Zfp780b	300	412	507	249	255	338	234	347
Zfp781	39	30	29	27	27	46	18	31
Zfp783	219	29	27	102	129	69	22	90
Zfp784	96	89	78	54	141	136	103	122
Zfp786	35	32	22	37	20	27	1	17
Zfp787	578	535	560	694	565	797	536	668
Zfp788	358	335	218	421	339	562	265	336
Zfp790	1252	1070	1037	1022	946	1661	1241	1184
Zfp791	307	197	258	171	274	307	150	267
Zfp799	385	426	361	581	470	636	319	532
Zfp800	1503	1853	1448	1281	1747	2431	1732	1773
Zfp804a	0	0	0	0	0	1	0	0
Zfp804b	0	0	0	0	0	0	0	1
Zfp808	51	64	66	104	53	152	88	132
Zfp809	602	541	458	322	663	810	526	637
Zfp81	210	392	386	436	341	571	336	455
Zfp810	734	993	548	553	751	1026	483	787
Zfp811	0	0	0	0	0	0	0	0
Zfp819	21	26	29	0	0	1	8	13
Zfp82	317	361	276	209	375	333	156	345
Zfp820	14	0	0	3	0	0	0	0
Zfp821	203	193	91	210	79	170	85	143
Zfp825	321	472	327	311	391	451	265	491
Zfp827	115	76	88	85	149	172	139	137
Zfp830	1043	1444	758	1082	952	1742	1199	1125
Zfp831	0	0	0	0	0	0	0	0
Zfp839	1143	1156	1127	1440	1315	1630	1208	1341
Zfp84	1704	1526	1550	1344	1425	2566	1502	1797
Zfp846	317	241	267	251	476	531	359	391
Zfp85	176	304	331	394	243	290	140	292
Zfp850	145	247	146	71	251	394	203	271
Zfp85os	16	32	15	28	11	34	8	16
Zfp862-ps	792	520	713	446	557	746	904	724
Zfp865	75	71	59	146	80	191	110	126
Zfp866	1295	1472	1268	1331	1365	1542	1220	1377
Zfp867	100	366	171	197	268	247	194	258
Zfp868	749	822	552	938	515	1042	626	740
Zfp869	2412	2389	2229	2561	2671	3196	1718	2771
Zfp87	1871	1896	1371	1816	1931	2030	1671	1665
Zfp870	625	587	370	383	400	661	549	563
Zfp871	4681	5723	4148	4187	4593	6295	4726	5032
Zfp872	1	1	2	0	0	1	0	0
Zfp873	185	493	449	350	130	379	368	355
Zfp874a	486	573	356	482	648	1101	384	650
Zfp874b	306	322	252	211	265	454	312	280
