Symbols,Genes ,fold d/h,GF_1,GF_2,GF_3,GF_4,GF_5,GF_7,GF_8,SPF_1,SPF_2,SPF_3,SPF_4,SPF_6,SPF_7,SPF_8,t-test
ZFP143,NM_009281,0.489583333333333,6,1,4,5,14,5,12,12,9,18,10,18,15,14,0.008076419814473
SON,NM_178880,0.48936170212766,92,89,106,111,60,153,102,181,203,186,212,220,208,247,4.41333276471333E-06
D15ERTD621E,NM_145959,0.485714285714286,67,56,65,81,51,49,90,134,114,85,112,190,147,163,0.00044423636724
CINP,NM_026048,0.485549132947977,8,7,7,21,6,23,12,23,30,15,14,31,26,34,0.007922317464712
PYROXD2,NM_029011,0.484472049689441,28,22,16,32,17,9,32,69,53,33,41,35,37,54,0.001880966399628
CCL12,NM_011331,0.483471074380165,37,32,38,39,28,26,34,52,114,76,44,55,72,71,0.001762372582018
ZKSCAN3,NM_001145778,0.483333333333333,19,25,15,20,23,23,20,37,52,35,43,50,43,40,2.82175866536039E-06
TBP,NM_013684,0.482758620689655,9,10,7,22,14,14,8,30,27,38,29,18,16,16,0.004898447426888
FAF1,NM_007983,0.480891719745223,26,25,2,18,35,21,24,54,60,46,43,55,25,31,0.002777570052938
XRN1,NM_011916,0.47926267281106,12,11,27,22,8,10,14,39,27,25,22,28,48,28,0.003002230999147
GTF2H2,NM_022011,0.477115117891817,32,68,56,72,53,23,40,103,83,98,108,139,105,85,0.000143493998773
CSNK1A1,NM_146087,0.476399560922064,48,49,66,64,16,94,97,117,179,122,48,137,162,146,0.003964489001353
CD34,NM_133654,0.475587703435805,107,98,82,121,114,118,149,245,164,206,293,253,228,270,1.59082369380474E-05
RGS7BP,NM_029879,0.474903474903475,18,11,22,11,5,43,13,42,47,22,33,38,35,42,0.004756312187467
PLD1,NM_008875,0.474178403755869,26,18,36,40,31,26,25,58,58,64,67,61,67,51,1.0688720156235E-06
LMNB2,NM_010722,0.473958333333333,4,21,12,14,9,24,7,15,35,27,19,26,42,28,0.006703270384371
BC030336,NM_001164580,0.473282442748092,7,13,17,7,10,3,5,27,9,19,16,20,22,18,0.004015700805463
FLI1,NM_008026,0.469403563129357,125,75,94,75,58,99,80,245,195,144,172,140,204,191,5.27839980150568E-05
GPR34,NM_011823,0.469026548672566,31,35,43,49,28,45,34,40,61,101,95,76,99,93,0.000542148536364
SLC35F5,NM_028787,0.468421052631579,19,1,6,9,21,14,19,39,19,32,17,30,26,27,0.00389357990997
SNX2,NM_026386,0.466898954703833,26,22,23,7,14,21,21,27,33,42,35,63,42,45,0.000906101987496
GPR137B-PS,NR_003568,0.46078431372549,20,20,24,17,28,8,24,53,43,46,41,43,36,44,6.6759467789719E-06
TNS1,NM_027884,0.460655737704918,15,42,18,36,68,73,29,72,130,56,135,76,58,83,0.008610874169577
DLD,NM_007861,0.458149779735683,17,8,10,27,12,10,20,31,44,20,33,16,37,46,0.004223139814858
HNRNPA3,NM_198090,0.457142857142857,6,3,2,10,2,4,5,9,13,14,10,10,7,7,0.003185919095371
UPK1B,NM_178924,0.456896551724138,32,53,52,77,51,40,66,73,76,116,156,125,138,128,0.000405505202104
QK,NM_001159516,0.456395348837209,17,25,14,42,22,10,27,44,41,55,27,78,51,48,0.002722896666756
INPP5E,NM_033134,0.456,7,17,24,18,15,19,14,50,50,23,26,18,35,48,0.00436743622043
DENND2C,NM_177857,0.454545454545455,3,5,1,1,4,1,5,9,9,4,6,5,7,4,0.007666151291625
GPCPD1,NM_001042671,0.454545454545455,10,21,7,36,12,19,15,37,25,43,39,32,42,46,0.000702823393282
CUL1,NM_012042,0.454225352112676,36,31,32,32,29,40,58,99,60,88,64,80,67,110,0.000140428061836
ITGAV,NM_008402,0.453521126760563,28,22,23,6,23,19,40,62,28,50,38,68,35,74,0.003764438267029
APPL2,NM_145220,0.452593917710197,49,23,29,46,27,54,25,80,92,42,115,59,79,92,0.001097273906787
KHDRBS1,NM_011317,0.448717948717949,29,27,34,30,3,26,26,44,49,38,50,63,68,78,0.000571554382481
NAA20,NM_001141965,0.448377581120944,15,29,25,27,26,11,19,57,49,39,53,49,48,44,4.31557830400156E-06
TRAPPC1,NM_001024206,0.44551724137931,67,46,24,7,44,71,64,102,57,74,87,138,138,129,0.002663006565027
PISD-PS2,NR_003519,0.444718962322421,116,75,69,153,107,51,149,273,261,125,190,196,298,276,0.000612856023895
SLC4A1AP,NM_009206,0.442367601246106,18,11,29,26,9,24,25,39,41,27,33,53,65,63,0.001582265869849
CLK4,NM_007714,0.441509433962264,18,25,9,24,9,16,16,40,61,14,36,49,32,33,0.00443405937741
SLC33A1,NM_015728,0.441441441441441,1,7,5,13,14,5,4,8,11,20,16,18,14,24,0.007153923035831
HIATL1,NM_001083901,0.441281138790036,22,12,24,6,14,23,23,19,39,41,43,65,41,33,0.002303964185707
CD86,NM_019388,0.437340153452685,29,34,14,13,30,14,37,26,38,64,66,67,87,43,0.003983610939675
NSUN5,NM_145414,0.434343434343434,16,15,5,16,16,3,15,32,43,15,31,10,35,32,0.006649389119863
DUSP22,NM_001037955,0.433734939759036,7,7,33,35,7,39,16,23,65,56,51,40,55,42,0.004026834530232
LONRF1,NM_001081150,0.433333333333333,4,6,3,2,4,3,4,6,6,8,5,9,16,10,0.006808408340819
PIK3C2B,NM_001099276,0.432835820895522,9,5,1,10,1,2,1,6,12,12,8,9,10,10,0.007576559472919
PTCD3,NM_027275,0.431372549019608,10,2,4,1,8,12,7,19,5,13,13,22,12,18,0.008421175260574
ZZZ3,NM_198416,0.43046357615894,4,5,4,6,13,10,23,22,30,25,22,18,15,19,0.002414406154033
BC031353,NM_153584,0.430232558139535,12,9,14,6,9,9,15,27,22,18,23,27,20,35,0.000102797169297
PRPS2,NM_026662,0.428571428571429,5,3,4,2,2,2,6,4,6,7,8,9,8,14,0.004799234086489
TNF,NM_013693,0.427586206896552,8,13,13,5,10,7,6,27,22,27,13,8,34,14,0.0080161025926
C330007P06RIK,NM_029951,0.426966292134831,5,4,5,11,6,2,5,5,13,11,8,19,14,19,0.006963651590425
HECTD1,NM_144788,0.426724137931034,20,9,12,10,25,7,16,33,17,39,39,23,27,54,0.003541831238157
FAM149B,NM_001177633,0.424657534246575,6,5,1,3,2,7,7,10,7,19,13,6,8,10,0.008544165649847
NLRP1B,NM_001040696,0.423255813953488,7,4,13,19,13,21,14,25,48,26,14,22,38,42,0.004807001212348
SENP5,NM_177103,0.422413793103448,10,3,10,7,5,5,9,10,17,20,23,15,13,18,0.000360864761968
4931406H21RIK,NR_033492,0.421686746987952,9,1,5,9,3,7,1,11,17,6,8,10,16,15,0.006077683584996
N/A,NR_015614,0.421149144254279,78,99,102,102,87,118,103,170,333,164,214,192,369,194,0.001049865888155
DCLRE1C,NM_146114,0.420454545454545,11,16,10,28,8,35,40,65,48,26,16,68,63,66,0.009321905265113
AFMID,NM_027827,0.419354838709677,20,30,15,27,6,12,33,79,51,31,53,24,49,54,0.003208056182346
CAMK2D,NM_001025438,0.41875,3,11,6,12,7,14,14,8,24,26,26,20,22,34,0.002067062263654
TUBGCP5,NM_146190,0.417777777777778,28,23,17,34,28,26,32,91,84,40,63,47,53,72,0.000319761376005
GTF2IRD1,NM_001081465,0.417218543046358,6,12,12,4,16,1,12,23,24,21,22,15,23,23,0.000166578254819
ATG4A,NM_174875,0.416666666666667,2,2,1,1,2,1,1,1,2,5,3,5,3,5,0.00910960467029
TSPAN32,NM_001128082,0.415584415584416,9,5,13,8,10,16,3,19,33,23,21,18,5,35,0.009277943722711
GM13253,NR_036572,0.414634146341463,10,2,1,7,3,13,15,21,14,14,17,18,17,22,0.00107865101503
SRP54A,NM_011899,0.407079646017699,13,7,16,22,16,7,11,30,34,32,30,29,34,37,2.62662112944131E-06
NUMB,NM_001136075,0.406639004149378,50,36,57,59,8,43,41,61,97,74,64,115,115,197,0.007129548377971
SRP54B,NM_001100109,0.405286343612335,13,7,16,22,16,7,11,30,34,33,30,29,34,37,2.44817800418726E-06
API5,NM_007466,0.403100775193798,7,4,15,5,13,7,1,13,30,15,24,12,17,18,0.003810721447923
LRP12,NM_172814,0.402877697841727,7,7,9,7,5,14,7,17,8,20,23,29,21,21,0.00075893027431
TRIP11,NM_028446,0.402173913043478,3,32,13,22,7,12,22,28,53,22,28,34,52,59,0.004513561352093
TTC9,NM_001033149,0.401869158878505,1,7,17,8,3,1,6,14,9,14,20,9,20,21,0.007727262981582
EIF5B,NM_198303,0.4,3,1,7,3,3,3,6,5,9,8,11,15,12,5,0.004439344672666
ASPH,NM_133723,0.398926654740608,23,25,33,46,10,54,32,72,76,62,56,95,100,98,0.000140969085686
CEP110,NM_012018,0.397683397683398,6,16,24,19,12,17,9,27,30,32,33,22,48,67,0.004061932437882
SRP54C,NM_001100110,0.397321428571429,13,7,15,22,16,7,9,30,34,31,30,29,34,36,2.38431307345206E-06
B130006D01RIK,NR_028263,0.396284829721362,8,14,4,30,14,9,49,32,46,47,59,32,35,72,0.005584813031541
PLEKHA2,NM_031257,0.396,30,35,9,25,44,33,22,78,83,57,58,81,77,66,9.16497625268369E-06
PLCB2,NM_177568,0.393700787401575,42,38,99,79,8,62,72,121,97,108,103,169,234,184,0.002156298314718
MRPL39,NM_017404,0.39247311827957,7,19,20,5,4,7,11,19,37,42,18,29,16,25,0.003832777766321
RTP4,NM_023386,0.391472868217054,7,11,36,11,18,7,11,38,44,42,23,39,22,50,0.001630815629471
D6WSU163E,NM_138594,0.390243902439024,6,11,1,9,8,1,12,15,30,14,18,24,13,9,0.005736441290437
SNORD92,NR_028556,0.388888888888889,1,1,1,1,1,1,1,3,2,3,1,3,2,4,0.001106963709869
ASPH,NM_001177855,0.388086642599278,23,22,32,47,10,49,32,74,76,62,53,95,96,98,0.000105205936083
MAP4K3,NM_001081357,0.386473429951691,12,3,10,14,14,9,18,25,48,33,24,30,23,24,0.000474287005543
FAM82B,NM_025476,0.384615384615385,8,4,9,16,1,12,5,11,18,15,28,22,29,20,0.001726978455536
FBXO5,NM_025995,0.384615384615385,2,4,1,2,3,5,3,6,9,8,8,4,5,12,0.001728866088978
6030458C11RIK,NM_001166360,0.384210526315789,17,1,2,18,15,5,15,19,34,26,18,38,37,18,0.002705516644892
MAPK8,NM_016700,0.383647798742138,9,1,1,11,14,24,1,27,19,17,17,21,23,35,0.004921558142868
NIF3L1,NM_022988,0.382608695652174,2,5,12,1,7,14,3,12,11,12,16,30,15,19,0.007166453807911
RB1CC1,NM_009826,0.382075471698113,8,11,10,8,5,16,23,29,39,26,20,28,34,36,0.000122997170299
ZFP810,NM_145612,0.381944444444444,2,10,1,14,8,12,8,37,27,17,9,22,18,14,0.007212675819832
SMEK2,NM_134034,0.381679389312977,14,16,7,26,14,14,9,56,33,27,38,42,29,37,0.00017479043405
PARP4,NM_001145978,0.378048780487805,5,7,2,11,12,17,8,33,34,11,28,29,22,7,0.006572027826307
PCNX,NM_018814,0.373831775700935,1,8,5,1,12,9,4,5,13,20,8,22,20,19,0.007340106043209
MRPL47,NM_029017,0.372549019607843,1,12,4,2,9,9,1,12,6,19,12,17,19,17,0.00315616386401
PTPN2,NM_008977,0.372413793103448,15,1,4,25,21,28,14,59,59,22,21,39,35,55,0.004069634070111
APOBEC2,NM_009694,0.371428571428571,15,4,8,3,1,2,6,19,8,21,11,11,22,13,0.005307125365593
IL1A,NM_010554,0.368932038834951,18,31,11,28,8,3,15,52,53,42,44,49,44,25,0.000192578226518
LY86,NM_010745,0.368832075389381,1371,998,1010,883,1500,1133,1559,4439,2720,3390,3135,3252,2876,3109,1.3864410387914E-06
RLIM,NM_011276,0.366279069767442,9,16,4,14,8,1,11,49,19,12,21,20,22,29,0.008076617871286
YWHAZ,NM_011740,0.365461847389558,52,35,43,36,30,49,28,127,103,81,71,118,104,143,2.28478337714679E-05
9330151L19RIK,NR_033222,0.365384615384615,4,3,9,5,8,1,8,19,11,17,12,20,14,11,0.000239502120616
GOLPH3,NM_025673,0.364640883977901,11,2,11,1,10,19,12,19,32,35,36,30,8,21,0.003454720404794
2010015L04RIK,NM_177674,0.364217252396166,18,6,21,4,16,7,42,35,39,60,38,35,49,57,0.000765745581135
TRIM34A,NM_030684,0.363636363636364,4,4,6,2,1,9,2,7,10,12,8,8,17,15,0.002038967080254
CCDC46,NM_029606,0.363636363636364,1,9,2,5,1,5,1,10,15,13,7,5,10,6,0.006144922208318
STARD3NL,NM_024270,0.358974358974359,53,59,46,68,55,47,50,146,151,162,119,178,130,167,7.65312535713436E-08
P2RX7,NM_001038845,0.355140186915888,5,5,25,11,4,14,12,40,22,23,31,27,38,33,0.000249620507106
YTHDF3,NR_027375,0.353658536585366,5,1,5,5,11,1,1,12,15,6,16,18,3,12,0.009806236610833
MAST4,NM_175171,0.352760736196319,7,16,7,43,7,14,21,42,54,30,57,55,48,40,0.000352828840745
CDC14A,NM_001080818,0.352380952380952,8,3,4,4,5,5,8,8,25,24,16,11,13,8,0.004376779830326
PLEKHF2,NM_175175,0.350710900473934,11,4,8,6,8,15,22,20,20,31,34,37,32,37,0.00015366726755
TM9SF2,NM_080556,0.349315068493151,10,9,29,19,33,28,25,58,36,47,46,85,87,79,0.000513552727962
FAN1,NM_177893,0.348837209302326,1,1,2,1,1,5,4,5,9,3,3,7,10,6,0.006342727878377
NSG1,NM_010942,0.348837209302326,10,9,4,2,2,1,2,9,11,23,13,11,13,6,0.006660890991786
SLC12A6,NM_133649,0.346899224806202,24,38,23,23,25,20,26,84,80,82,62,63,57,88,8.7906590425694E-07
OPHN1,NM_052976,0.345216606498195,87,118,104,164,34,130,128,198,368,187,145,376,472,470,0.002476065350809
FZD7,NM_008057,0.344594594594595,7,16,11,14,1,1,1,11,11,23,33,24,28,18,0.004597783498911
CNTF,NM_170786,0.34375,2,1,1,1,1,1,4,4,6,7,3,1,4,7,0.007951698568397
4932438A13RIK,NM_172679,0.338461538461538,15,5,7,2,1,9,5,9,24,5,16,29,26,21,0.007488918570676
ZFP445,NM_173364,0.336898395721925,20,6,11,15,1,1,9,40,20,32,23,20,12,40,0.003441964508177
TRIM68,NM_198012,0.333333333333333,2,5,1,3,1,5,1,10,7,5,12,5,12,3,0.005808780902883
PHACTR2,NM_001195096,0.333333333333333,11,1,1,1,1,2,3,8,7,14,8,7,10,6,0.006132766132484
MUTYH,NM_001159581,0.333333333333333,1,2,1,1,1,1,6,8,4,9,4,7,3,4,0.006847696092373
GLS,NM_001113383,0.333333333333333,4,2,7,4,11,1,2,21,15,7,13,14,16,7,0.002341329318446
ZHX3,NM_177263,0.327380952380952,10,15,1,10,12,2,5,23,28,32,26,18,23,18,8.4150103250496E-05
SF3B1,NM_031179,0.325806451612903,46,10,28,37,20,26,35,158,75,43,44,77,80,143,0.005428466808718
FKBP7,NM_010222,0.323943661971831,7,1,9,1,2,2,1,11,11,5,8,7,10,19,0.006880073300528
TRAPPC9,NM_001164643,0.32258064516129,1,1,2,1,1,3,1,3,5,2,5,4,9,3,0.00674812554533
PPP1CB,NM_172707,0.321428571428571,1,1,1,1,2,1,2,1,5,4,4,5,2,7,0.004476992569542
USP11,NM_145628,0.317796610169491,17,4,11,18,10,3,12,34,51,24,28,32,34,33,6.77636739648033E-05
TSPAN32,NM_001128081,0.317460317460317,7,1,7,7,6,9,3,14,33,20,18,11,5,25,0.005546229422569
B930003M22RIK,NR_037588,0.317307692307692,7,3,10,16,22,3,5,46,28,24,28,18,40,24,0.000852011419838
CPD,NM_007754,0.317073170731707,7,7,11,1,3,2,8,10,15,14,27,32,7,18,0.006696740214501
KRR1,NM_178610,0.316831683168317,1,4,8,11,1,1,6,20,7,16,14,11,22,11,0.001977482857692
B4GALNT2,NM_008081,0.31578947368421,3,8,7,3,1,19,1,34,12,25,13,7,22,20,0.009312004369094
4933406I18RIK,NR_029438,0.3125,1,3,1,6,1,1,2,6,8,5,8,9,6,6,0.000200486194205
4933434E20RIK,NM_027500,0.311688311688312,1,9,11,4,7,7,9,22,37,19,8,14,19,35,0.003609312071368
MIR186,NR_029572,0.305882352941176,2,3,5,1,5,1,9,16,14,12,7,10,10,16,0.000297928069777
MALAT1,NR_002847,0.305235970885184,317,247,355,737,131,384,429,734,1355,1028,675,1764,1638,1324,0.000407484464141
CDK12,NM_001109626,0.30327868852459,6,3,1,5,2,9,11,26,18,23,11,11,19,14,0.000535261695156
MIR706,NR_030487,0.30188679245283,4,3,9,7,2,5,2,8,24,17,7,21,16,13,0.001498608815494
CTNND1,NM_001085449,0.30010718113612,67,23,32,20,23,42,73,164,132,80,106,166,147,138,2.97338443999336E-05
CCDC90A,NM_001081059,0.298867924528302,50,71,40,31,34,113,57,224,181,181,229,161,171,178,1.05544390556845E-06
IVNS1ABP,NM_001039511,0.296052631578947,28,47,52,63,30,45,50,107,189,121,66,155,198,228,0.000408379967097
9930021J03RIK,NM_172836,0.294117647058823,1,1,2,9,1,5,1,8,17,9,8,5,10,11,0.002760958522371
ELMO1,NM_080288,0.292452830188679,12,17,15,22,4,16,7,31,57,20,28,61,60,61,0.000829798771161
E030024N20RIK,NR_033228,0.29064039408867,22,11,15,30,15,5,20,55,85,58,40,53,60,55,1.63803806470796E-05
KIF9,NM_001163569,0.287878787878788,7,1,1,3,1,1,5,4,13,9,18,5,8,9,0.006260127703586
NEK4,NM_011849,0.287037037037037,6,3,5,1,8,2,6,8,20,28,12,4,11,25,0.009020830987966
BTBD17,NM_028055,0.286764705882353,1,1,11,7,9,9,1,11,28,30,14,17,17,19,0.000856250363281
NOS1AP,NM_001109985,0.286729857819905,16,5,30,12,2,19,37,13,65,58,32,57,114,83,0.00721724095111
WNK1,NM_001185021,0.286472148541114,20,12,8,6,6,42,14,59,73,25,39,50,52,79,0.000733806057515
C78339,NM_001033192,0.285714285714286,1,1,1,6,1,9,13,25,17,8,20,7,18,17,0.00281044909744
LIN9,NM_175186,0.285714285714286,1,1,4,1,1,1,1,1,6,6,2,7,6,7,0.00437622139501
2700049A03RIK,NM_029818,0.285714285714286,1,6,5,1,1,7,5,19,25,14,3,9,8,13,0.008271700260655
MOSPD2,NM_029730,0.283018867924528,3,1,1,3,1,5,1,13,8,7,3,5,11,6,0.002618132472033
9530008L14RIK,NM_001145875,0.28125,1,3,1,1,1,1,1,6,1,6,8,6,4,1,0.009167497736324
CD2AP,NM_009847,0.281138790035587,18,3,14,5,18,10,11,46,40,37,39,38,32,49,7.58647403781543E-07
2700049A03RIK,NM_001163378,0.280898876404494,1,4,6,1,1,7,5,18,19,19,3,10,7,13,0.004117456179148
GM3604,NM_001162910,0.275862068965517,1,2,1,1,1,1,1,4,4,6,4,3,5,3,1.43435219676345E-05
LRRC51,NM_027053,0.274932614555256,17,11,17,19,12,5,21,59,34,72,20,38,80,68,0.000871669947774
4930578N16RIK,NM_001077684,0.274193548387097,1,1,1,3,1,9,1,3,9,12,10,14,6,8,0.003703979243245
ZFP318,NM_021346,0.26865671641791,2,7,1,3,4,10,9,12,33,29,3,15,22,20,0.005031022653007
KIFC2,NM_010630,0.26605504587156,1,7,9,3,1,7,1,20,15,1,16,18,25,14,0.003032233472177
ACRBP,NM_001127340,0.264864864864865,7,6,10,21,1,23,30,62,57,25,65,51,48,62,7.20045212556893E-05
TMEM22,NM_001101483,0.260869565217391,1,3,1,4,1,1,1,10,5,4,4,5,13,5,0.004785721654626
ZBTB26,NM_199025,0.258928571428571,4,1,8,8,1,3,4,11,14,9,23,13,21,21,0.000312959768496
DEPDC5,NM_177786,0.258064516129032,1,1,1,1,2,1,1,1,6,7,1,5,3,8,0.009984555390503
POU5F2,NM_029315,0.256830601092896,5,1,12,11,8,1,9,31,13,6,33,31,20,49,0.005064979393673
ZFP157,NM_028130,0.256410256410256,2,3,2,4,2,5,2,6,8,8,12,14,16,14,0.000138759661601
ADHFE1,NR_027664,0.255605381165919,12,4,8,13,4,1,15,33,15,30,29,19,55,42,0.00101450250093
FERT2,NM_001037997,0.251798561151079,6,3,1,9,8,7,1,24,20,27,18,7,22,21,0.000140987643324
RFX3,NM_011265,0.25,1,1,4,1,1,1,1,3,1,9,6,7,6,8,0.002820564929486
ZFP386,NM_001004066,0.25,4,3,1,1,1,1,2,7,7,16,7,1,8,6,0.007500604321686
LRBA,NM_001077687,0.246575342465753,28,3,1,31,11,3,13,42,83,46,38,29,55,72,0.000663345440921
GBP5,NM_153564,0.245901639344262,1,1,1,6,1,2,3,12,14,3,5,12,6,9,0.002439074434319
DUOXA1,NM_145395,0.242424242424242,2,1,4,1,1,1,6,4,15,8,16,1,9,13,0.008058479892821
P2RX7,NM_001038887,0.23768115942029,7,14,11,21,8,9,12,28,69,37,38,63,65,45,7.3638147624638E-05
GPR155,NM_001080707,0.23469387755102,5,8,1,10,1,10,11,18,44,24,11,18,36,45,0.00185988288466
MYBPHL,NM_026831,0.233333333333333,1,1,3,1,3,1,4,11,2,14,5,15,8,5,0.005145857737222
EIF2A,NM_001005509,0.227488151658768,11,2,3,5,6,12,9,34,24,21,19,30,31,52,0.000208113440347
TNFRSF14,NM_178931,0.225352112676056,4,2,1,1,1,1,6,3,9,1,16,16,14,12,0.007025610042826
FAM129A,NM_022018,0.223404255319149,5,23,8,1,2,2,1,12,46,24,31,16,36,23,0.002132568603149
CSMD3,NM_001081391,0.221311475409836,5,4,4,2,4,1,7,30,2,14,18,21,14,23,0.001802493022525
PAN2,NM_133992,0.21551724137931,7,4,4,1,1,5,3,10,22,8,25,9,20,22,0.000670568516158
PIK3R3,NM_181585,0.212121212121212,1,1,1,1,1,1,1,7,5,3,4,9,2,3,0.001982210834735
D830031N03RIK,NM_001167918,0.208092485549133,5,1,3,7,4,3,13,11,31,19,24,18,42,28,0.000459491510965
TMCO6,NM_028036,0.206185567010309,1,1,7,12,1,1,17,37,41,15,21,18,28,34,0.000391955636916
XIST,NR_001570,0.203389830508475,10,10,6,9,8,9,20,54,58,23,52,34,61,72,4.83167687120323E-05
ZFP280C,NM_153532,0.2,1,1,5,1,1,1,9,10,6,12,8,19,22,18,0.001272991470715
XIST,NR_001463,0.199794026776519,22,34,21,40,19,9,49,111,166,99,104,93,202,196,7.14850053118279E-05
NLRP1C,NR_027858,0.197674418604651,1,1,9,25,1,2,12,27,41,9,30,28,62,61,0.003165391314732
CAPNS2,NM_027112,0.19672131147541,3,2,2,10,3,2,2,27,15,6,15,14,25,20,0.000454368588462
MBOAT1,NM_153546,0.195402298850575,4,6,4,9,2,7,19,27,50,20,36,30,53,45,8.31029033901844E-05
WDR37,NM_001039389,0.193548387096774,3,1,1,4,1,1,1,1,19,8,4,12,9,9,0.007527025072641
HLTF,NM_144959,0.191358024691358,6,8,6,18,6,12,6,32,64,15,18,67,61,67,0.001469472038238
SLC8A1,NM_001112798,0.191304347826087,10,1,1,2,1,1,6,10,27,4,7,22,22,23,0.003742371327478
BDP1,NM_001081061,0.188679245283019,1,2,1,1,3,1,1,12,15,3,6,8,7,2,0.004836654117136
AGTPBP1,NM_023328,0.184466019417476,10,1,1,1,2,1,3,10,26,8,13,14,16,16,0.000463607778511
D3ERTD751E,NM_001099785,0.181818181818182,1,2,1,1,1,1,1,10,5,3,8,11,1,6,0.002928377740918
DNAJB7,NM_021317,0.18,1,1,1,1,1,3,1,9,1,10,8,7,8,7,0.000240228251217
ASB3,NM_023906,0.173913043478261,1,4,1,1,1,1,3,11,12,15,3,4,6,18,0.003079492560661
FAR1,NM_027379,0.167630057803468,5,3,9,1,1,2,8,21,21,25,13,47,18,28,0.000458945755706
CEP72,NM_028959,0.166666666666667,6,1,1,2,1,1,1,3,19,8,10,11,4,23,0.00750867291803
A730069N07RIK,NM_178735,0.158730158730159,1,1,2,1,1,3,1,1,13,14,1,10,8,16,0.006572596808562
OLFR111,NM_001005485,0.152941176470588,1,1,1,7,1,1,1,16,8,5,3,13,22,18,0.003200814474165
HIST1H2BE,NM_001177653,0.146666666666667,5,1,1,1,1,1,1,9,23,7,1,13,14,8,0.005024085953879
KLC1,NM_008450,0.144927536231884,1,1,1,4,1,1,1,6,8,15,7,4,22,7,0.00479838360182
1700020D05RIK,NM_023781,0.140350877192982,1,1,1,1,1,1,2,7,4,7,2,16,10,11,0.001918031530076
ADAM33,NM_033615,0.14,1,1,1,1,1,1,1,7,13,12,11,5,1,1,0.00735485320288
MIR3108,NR_037295,0.137254901960784,1,1,1,1,1,1,1,4,8,3,7,9,10,10,7.08571379048333E-05
POLR3F,NM_029763,0.136363636363636,1,1,3,4,1,1,4,19,26,5,4,9,29,18,0.003879929683805
POSTN,NM_001198766,0.12962962962963,1,1,1,1,1,1,1,11,5,13,13,7,4,1,0.002686246170526
POSTN,NM_015784,0.12962962962963,1,1,1,1,1,1,1,11,5,13,13,7,4,1,0.002686246170526
THNSL1,NM_177588,0.127272727272727,1,1,1,1,1,1,1,11,1,3,6,9,12,13,0.00205420616617
S100G,NM_009789,0.117021276595745,1,1,1,5,1,1,1,11,14,21,11,6,23,8,0.000455610353738
ERO1LB,NM_026184,0.10752688172043,2,3,2,8,1,1,3,39,25,31,27,35,15,14,3.34486606519238E-05
