Symbols,Genes ,fold d/h,GF_1,GF_2,GF_3,GF_4,GF_5,GF_7,GF_8,SPF_1,SPF_2,SPF_3,SPF_4,SPF_6,SPF_7,SPF_8,t-test
ASNA1,NM_019652,1.80952380952381,188,127,134,117,99,82,165,109,80,88,68,57,55,47,0.003518018414968
DTX2,NM_023742,1.80633802816901,68,91,77,66,40,106,65,46,71,41,36,32,33,25,0.005779460062656
RRP7A,NM_029101,1.80496453900709,109,62,59,73,48,75,83,43,42,40,51,30,41,35,0.001418320206729
APOE,NM_009696,1.80116230801162,2657,3008,2584,1524,3146,2263,2174,1679,1457,1373,1097,1307,1646,1077,0.000391274639782
PLAU,NM_008873,1.79696394686907,106,147,153,150,75,168,148,85,70,52,62,71,80,107,0.001081238657568
2810408M09RIK,NM_001007581,1.78467153284672,87,81,53,33,63,89,83,28,41,37,42,32,63,31,0.005495651553079
NFKBIA,NM_010907,1.7814871016692,374,515,423,402,580,614,614,267,205,279,294,373,283,276,0.000260645085778
TXNRD1,NM_015762,1.78030303030303,80,65,74,69,67,43,72,44,30,18,55,39,29,49,0.000762157039947
FDX1L,NM_001039824,1.77871148459384,67,106,58,92,88,118,106,94,44,55,38,40,38,48,0.003944861956146
SARS,NM_011319,1.77651515151515,132,139,106,119,155,155,132,51,67,107,85,81,85,52,9.10407242300318E-05
EIF4G1,NM_001005331,1.77648878576953,324,254,338,401,232,385,363,224,225,185,186,182,162,129,0.00020605419745
LMO4,NM_010723,1.77462686567164,142,199,88,166,219,210,165,122,96,76,101,78,112,85,0.001659132164155
N/A,NR_028574,1.77227722772277,88,76,96,65,58,90,64,54,54,49,51,33,38,24,0.000542314440892
ORMDL3,NM_025661,1.77142857142857,94,102,126,77,102,148,95,80,54,56,27,59,61,83,0.001493330911936
GM996,NM_001005424,1.76627218934911,65,131,101,81,60,64,95,50,51,28,48,43,69,49,0.00481165562762
UAP1L1,NM_001033293,1.76549865229111,84,118,132,77,108,73,63,69,56,59,60,40,63,24,0.00394924736143
SESN2,NM_144907,1.76282051282051,40,30,35,42,60,33,35,27,14,31,13,35,20,16,0.005410340509945
EIF1AD,NM_027236,1.7595818815331,67,75,108,74,64,63,54,27,31,42,64,29,21,73,0.008929947896549
2300009A05RIK,NM_027090,1.75770925110132,76,58,48,65,45,49,58,25,38,27,45,35,29,28,0.000326753390144
BOLA2,NM_175103,1.75717439293598,116,102,83,123,176,97,99,77,59,63,69,70,49,66,0.001499452077281
SORL1,NM_011436,1.7479674796748,100,124,80,83,94,73,91,84,39,50,59,40,40,57,0.000735431779215
SNRPC,NM_011432,1.74522292993631,21,49,42,40,38,43,41,25,27,22,24,23,16,20,0.000519815240089
GPR137B,NM_031999,1.74503311258278,81,78,75,70,89,56,78,63,31,41,45,44,41,37,6.77880786577073E-05
MIR692-1,NR_030465,1.7367405978785,255,243,254,224,281,256,288,152,159,159,151,133,148,135,5.00821215591825E-08
PSMB3,NM_011971,1.73372781065089,24,24,59,41,40,51,54,23,22,27,23,35,21,18,0.008737914313257
RPF1,NM_027371,1.72868217054264,30,23,22,38,35,33,42,23,4,24,28,24,10,16,0.009272908693952
DNAJB1,NM_018808,1.72505543237251,74,107,128,123,96,132,118,86,50,60,82,47,47,79,0.000623986955327
MARK4,NM_172279,1.72443674176776,210,171,71,125,102,161,155,103,96,83,95,80,79,41,0.008920987623734
CORO1C,NM_011779,1.71583514099783,109,64,175,129,126,95,93,49,61,69,80,84,55,63,0.005921868296624
GM11517,NR_033523,1.7,14,14,12,13,15,21,13,7,4,9,14,6,8,12,0.004614053652705
EXOSC4,NM_175399,1.69651741293532,69,38,49,31,53,54,47,30,26,25,35,20,26,39,0.002363521590086
TOMM22,NM_172609,1.69304556354916,86,116,96,85,80,124,119,50,106,58,46,83,44,30,0.00508888508815
NACC2,NM_026495,1.68788501026694,127,113,112,129,91,137,113,88,37,104,59,91,59,49,0.000933439195046
2900010M23RIK,NM_026063,1.68472906403941,104,126,86,60,112,123,73,73,35,83,58,57,53,47,0.004308556047246
TGFB1,NM_011577,1.68171511028654,1242,1024,1189,1294,1153,1128,1128,763,695,859,691,644,755,444,3.77966143715602E-06
MLLT1,NM_022328,1.68145161290323,55,50,61,76,33,64,78,23,46,40,33,33,33,40,0.002962820143227
HIST1H2AN,NM_178184,1.67910447761194,35,24,32,29,29,33,43,15,31,17,10,20,22,19,0.002126830135318
TBL3,NM_145396,1.67843137254902,59,72,67,42,52,71,65,30,20,54,30,58,40,23,0.004015824192758
RELA,NM_009045,1.67741935483871,205,224,165,235,217,240,222,105,128,134,176,114,138,104,2.88701186261833E-05
CCDC55,NM_001012309,1.67689822294023,139,136,130,206,91,177,159,115,84,105,57,101,65,92,0.002887710011841
MTA3,NM_054082,1.67549668874172,42,50,22,34,41,35,29,36,18,20,17,20,19,21,0.005039508810427
LSM7,NM_025349,1.67441860465116,26,15,14,28,27,21,13,11,14,10,13,10,13,15,0.007597008954144
CCND3,NM_001081635,1.67295597484277,73,69,101,73,94,76,46,41,34,44,74,53,42,30,0.004326213805911
POP7,NM_028753,1.66666666666667,54,70,78,60,54,38,76,27,48,15,48,50,34,36,0.005521882275103
DDX41,NM_134059,1.65564738292011,67,68,100,126,85,82,73,46,77,37,77,55,25,46,0.008670769006071
ESYT1,NM_011843,1.6551724137931,173,246,192,256,178,193,202,115,143,105,115,139,146,107,8.27307772818261E-05
N/A,NR_003373,1.65387823185988,603,527,538,513,675,504,606,436,303,385,332,296,304,342,9.62508892448234E-06
RPL26,NM_009080,1.65387823185988,603,527,538,513,675,504,606,436,303,385,332,296,304,342,9.62508892448234E-06
RNF26,NM_153762,1.6524064171123,42,47,52,24,43,65,36,19,29,17,23,35,27,37,0.009244695513696
KDM6B,NM_001017426,1.64770240700219,203,246,215,207,142,240,253,148,124,153,70,139,132,148,0.000493819868763
RPL36,NM_018730,1.64550264550265,219,155,167,134,222,165,182,117,107,116,112,98,107,99,0.000134795801271
AIP,NM_016666,1.64414029084688,319,273,330,237,198,241,324,191,184,195,165,183,157,94,0.000639213463945
RPS20,NM_026147,1.64032697547684,565,373,445,336,541,392,358,368,189,341,267,248,212,210,0.002101593879443
HYI,NR_003946,1.63865546218487,98,68,92,97,85,88,57,38,72,51,57,50,40,49,0.000728379158915
SZT2,NM_198170,1.63865546218487,98,68,92,97,85,88,57,38,72,51,57,50,40,49,0.000728379158915
RPS14,NM_020600,1.63767419509851,498,451,491,410,644,373,541,336,212,443,321,291,216,262,0.001276315350535
CRYBB1,NM_023695,1.63747019701343,1901,1830,1581,1506,2107,2231,1893,1136,997,1381,1261,1166,1021,1007,3.14232354413283E-05
PNPLA2,NM_001163689,1.63582443653618,179,219,161,198,239,264,119,120,76,94,175,145,127,106,0.004998106788226
UQCRC1,NM_025407,1.63569682151589,218,285,269,213,358,339,325,211,170,205,201,177,157,106,0.000968627062625
RPS26,NM_013765,1.63438256658596,327,290,278,248,322,276,284,208,162,173,183,161,166,186,8.52137648025583E-07
PHF15,NM_199299,1.63317073170732,274,206,230,182,377,205,200,131,148,163,157,153,144,129,0.003860071259762
N/A,NM_178188,1.62987012987013,36,25,36,32,33,38,51,18,36,21,11,22,24,22,0.005637118695028
ATXN7L3,NM_001098836,1.62939958592133,134,106,94,113,92,106,142,64,97,58,64,79,62,59,0.000406140782509
SAMM50,NM_178614,1.62814070351759,84,154,118,165,171,109,171,63,69,98,81,87,116,83,0.003527484921369
SLC43A2,NM_001199284,1.625,101,90,121,54,125,106,144,63,69,59,57,70,90,48,0.00541116666483
RPL14,NM_025974,1.62098214285714,587,489,460,439,565,539,552,398,251,383,390,257,268,293,6.2521170902296E-05
N/A,NM_001177544,1.61993769470405,92,51,66,63,76,81,91,34,67,50,23,48,46,53,0.003389904079588
NDUFA3,NM_025348,1.61784287616511,154,173,171,150,183,193,191,133,67,144,79,110,114,104,0.000147478024337
B3GAT3,NM_024256,1.61723446893788,182,94,92,112,92,118,117,80,85,55,95,64,59,61,0.006196753064429
PFDN2,NM_011070,1.61654135338346,74,87,72,78,111,115,108,51,69,53,71,43,70,42,0.001449975579097
RPL35,NM_025592,1.6143977191732,332,310,287,296,388,357,295,230,158,236,215,197,183,184,1.53287469766663E-05
HIST1H2BM,NM_178200,1.61417322834646,29,21,29,27,26,32,41,15,30,15,11,20,22,14,0.00623674607037
NHP2,NM_026631,1.61168384879725,73,59,82,48,84,47,76,31,63,36,51,29,41,40,0.004981192487163
OGFRL1,NM_001081079,1.61081654294804,731,612,583,629,811,630,561,514,311,473,535,334,300,362,0.000376308435281
RPL37,NM_026069,1.60854987426656,269,211,224,287,346,293,289,181,158,197,153,156,182,166,0.000104531396079
MOBKL2A,NM_172457,1.60500963391137,149,107,128,98,148,78,125,104,85,62,75,78,64,51,0.002654531017923
HIST1H2AP,NM_178185,1.6,89,51,65,63,72,81,91,33,67,50,23,48,46,53,0.003960465974859
HIST1H2AH,NM_175659,1.59868421052632,35,25,34,31,32,38,48,18,36,19,11,22,24,22,0.006253837335292
ARF5,NM_007480,1.59842001316656,413,418,341,361,323,328,244,288,209,213,227,207,216,159,0.000384902292545
ICOSL,NM_015790,1.59707724425887,136,125,108,98,57,137,104,75,67,84,80,63,54,56,0.00369811335743
RENBP,NM_001164704,1.59587813620072,346,258,208,255,277,220,217,207,111,140,194,127,200,137,0.001590695500815
CAST,NM_009817,1.59574468085106,18,23,28,25,18,13,25,18,7,17,11,12,15,14,0.006707001083608
HS1BP3,NM_021429,1.59379407616361,99,149,169,180,149,233,151,108,85,96,45,120,129,126,0.008002199314147
PSKH1,NM_173432,1.5933014354067,44,39,41,63,55,50,41,35,30,39,28,24,16,37,0.002076504089297
