GO:0046641
GO:0001525
GO:0001897
GO:0002044
GO:0002227
GO:0002291
GO:0002314
GO:0002385
GO:0002456
GO:0002706
GO:0002708
GO:0002709
GO:0002819
GO:0002822
GO:0003072
GO:0003322
GO:0007275
GO:0007519
GO:0007600
GO:0007606
GO:0009635
GO:0010015
GO:0010053
GO:0010054
GO:0014016
GO:0019065
GO:0019075
GO:0019730
GO:0019731
GO:0019732
GO:0019836
GO:0021502
GO:0022622
GO:0030217
GO:0030593
GO:0030860
GO:0030862
GO:0031100
GO:0031640
GO:0032502
GO:0032829
GO:0033092
GO:0034117
GO:0034382
GO:0035039
GO:0035767
GO:0035769
GO:0035821
GO:0035914
GO:0036269
GO:0036305
GO:0042098
GO:0042102
GO:0042110
GO:0042129
GO:0044179
GO:0044364
GO:0044403
GO:0044419
GO:0044699
GO:0044707
GO:0044763
GO:0044764
GO:0044767
GO:0045766
GO:0046634
GO:0048535
GO:0048731
GO:0048856
GO:0050670
GO:0050671
GO:0050863
GO:0050870
GO:0050877
GO:0050907
GO:0051133
GO:0051135
GO:0051239
GO:0051249
GO:0051251
GO:0051707
GO:0051715
GO:0051801
GO:0051817
GO:0051818
GO:0051883
GO:0052331
GO:0060217
GO:0060538
GO:0061181
GO:0061303
GO:0061373
GO:0070232
GO:0070489
GO:0071621
GO:0071675
GO:0071677
GO:0072135
GO:0072136
GO:0072209
GO:0072254
GO:0072255
GO:0072272
GO:0072358
GO:0098542
GO:1901082
GO:1903903
GO:1904252
GO:1904897
GO:1904899
GO:1990922
GO:2000026
GO:2000383
GO:2000384
GO:2000532
GO:2000566
GO:2001026
